Other Songs I Know	Artists	ID	ExCol
Eighteen Cool	Hoodie Allen	All American	spotify:track:3Hko5fYBDP6XyNM9dj1nSS
Smoke	50 Cent, Trey Songz	Smoke	spotify:track:0oPqaARxaTC1K8hQKHla0W
Remember Me	Chris Brown, Tyga	Remember Me	spotify:track:5Mp7wU5IrcnmLlaFMZwowJ
In Case of Fire (feat. Jeff Bhasker)	Mark Ronson, Jeff Bhasker	Uptown Special	spotify:track:2OTdfTzu0VAmnykkQDrFZr
Move That Doh	Future, Pharrell Williams, Pusha T, Casino	Move That Doh	spotify:track:3HwQrQAZS0SpmeU6v9Lojd
Push It	iSHi, Pusha T	Push It	spotify:track:4bm3nRCNGrFDINkMxEAGrf
Yoko	Berner, Big K.R.I.T., Wiz Khalifa	The White Album	spotify:track:2mK8FaJ24HSxlNsMP0PE9j
Dizzy	Berner	20 Lights	spotify:track:3qHIFvZ93PY3EYq4BHSbE5
Febreze (feat. 2 Chainz)	Jack Ü, Skrillex, Diplo, 2 Chainz	Skrillex and Diplo present Jack Ü	spotify:track:48bSfSZaq9Aizbu4AWn4st
Rotation (feat. Wiz Khalifa & 2 Chainz)	Wale, 2 Chainz, Wiz Khalifa	The Gifted	spotify:track:7AuE7MxmY5CMigYDjFpt2N
Props & Mayhem	Pierce The Veil	Collide With The Sky	spotify:track:0aHOEWCgpvygw0AmFXa9on
The Joy	JAY-Z, Kanye West, Curtis Mayfield	Watch The Throne (Deluxe)	spotify:track:7huc9zi62N3uBYkJOmAhTf
Win Again	Nicki Minaj	The Pinkprint (Deluxe)	spotify:track:1o6M2GxY3ITaFzOD3XEaFB
Primetime	JAY-Z, Kanye West	Watch The Throne (Deluxe)	spotify:track:32oaQIN08rnsdSP8xuW0Vt
Gas In My Tank (Migos Swag Gang)	Soulja King	Gas In My Tank (Migos Swag Gang)	spotify:track:5t7WOpLw0jnDlJqIuVbZCd
She Knows (feat. Amber Coffman & Cults)	J. Cole, Amber Coffman, Cults	Born Sinner	spotify:track:282L6SR4Y8Rs0VUgtEy1Zw
Take It Back	Ed Sheeran	x (Deluxe Edition)	spotify:track:2dmOWlEHrP266Qgz6wnUrd
Jesus and Bocephus	Kid Rock	First Kiss	spotify:track:4W4GTPUsiYlA46pOyEJq6E
The Bridge	Train	Bulletproof Picasso	spotify:track:44U1DaDzvGLK6vChpIkE21
@Cartier	Littlebabyangel	@Cartier	spotify:track:7vZXNFeqIYMC1VJUCoRTGr
Rap Game	D12	8 Mile (Music From And Inspired By The Motion Picture)	spotify:track:3WgTbafC5uRpdQdFndQYxE
Twerk Dat Pop That (feat. Eminem & Royce da 5'9")	Trick Trick, Eminem, Royce Da 5'9"	Twerk Dat Pop That (feat. Eminem & Royce da 5'9")	spotify:track:6BTSlFDyQDKPf3LFtWaL7b
6th Gear (feat. Kstylis)	Diplo, Alvaro, Kstylis	6th Gear (Remixes)	spotify:track:2Pp5VxDGloSz5LgskZVaAc
Everything Is Everything	Gabriel Garzón-Montano	Bishouné: Alma del Huila	spotify:track:3LmW4KXBYAD5VFrlQGXvxr
6 Man	Drake	If You're Reading This It's Too Late	spotify:track:4kdfjhj9xNkYU0R8xlDy8k
Only You	Ellie Goulding	Halcyon Days	spotify:track:1cluc53iiE3ZmkL5SX9oFi
Breaking Up	Charli XCX	SUCKER	spotify:track:3JMONEZC8p1tPRM9hXiSzn
Empire	Shakira	Shakira. (Expanded Edition)	spotify:track:1eIk4CkooTRycHSDfaShLC
This Boys In Love	The Presets	Apocalypso	spotify:track:40Pq8xmzshZXTgLDV4Stlt
Schemin Up (feat. Drake and P. Reign)	OB OBrien, Drake, Preme	Schemin Up (feat. Drake and P. Reign)	spotify:track:63M8PK8yavNITSViKUB62p
Place To Be	Slaughterhouse, B.o.B	welcome to: OUR HOUSE (Deluxe)	spotify:track:75lRWdZpydOqrDSYMu9GQt
P.I.M.P.	50 Cent	Get Rich Or Die Tryin'	spotify:track:2D1hlMwWWXpkc3CZJ5U351
Friction	Imagine Dragons	Smoke + Mirrors	spotify:track:2iIb73Qn02LsZwpW8RJUxh
Gold - Live From Spotify London	Imagine Dragons	Imagine Dragons (Spotify Sessions)	spotify:track:33FLvaIp4eA2MopG2XJJB8
Melt Me	Hanni El Khatib	Moonlight	spotify:track:3gYMbWHkIyEvU0WUUgg1fb
Viagra Skit	Ludacris	Ludaversal	spotify:track:30OfwK7hgnP4bsllVaOnD1
Summer Love	Justin Timberlake	FutureSex/LoveSounds	spotify:track:1MBM7CyZbwJpVbbZJnHHRg
Guns And Roses	Lana Del Rey	Ultraviolence (Deluxe)	spotify:track:0vfPEfQk0ZCHExTZ007Ryr
Holy Water	Madonna	Rebel Heart (Deluxe)	spotify:track:6gF0FhEbbf2s6BjZx1PJJW
Show Me	Bruno Mars	Unorthodox Jukebox	spotify:track:2tCPIp83mRXvVTytTAf1W4
I Like Girls	Rixton	Let The Road	spotify:track:0EwBo2qpZWfbxuvHUORasg
My House	Flo Rida	My House	spotify:track:385Ra4Nd3dlSRzVFBCooE3
Good Time Lookin' for Me	Kid Rock	First Kiss	spotify:track:6HeyYSYe7fuSmpiRFQvvGm
Pretty Girls	Britney Spears, Iggy Azalea	Pretty Girls	spotify:track:6QicTxeiSaRkPnkGDUvYOs
Legend	Drake	If You're Reading This It's Too Late	spotify:track:1ID1QFSNNxi0hiZCNcwjUC
Night Riders	Major Lazer, Travis Scott, 2 Chainz, Pusha T, Mad Cobra	Night Riders	spotify:track:2X6iMaTO5z51oJTRD2TVRw
Countdown (Skit)	Tech N9ne	Special Effects	spotify:track:3KFJYiTuSW28WG6BFvm4bE
FUCKING YOUNG / PERFECT (feat. Charlie Wilson, Chaz Bundick, Sydney Bennett & Kali Uchis)	Tyler, The Creator, Charlie Wilson, Chaz Bundick, Syd, Kali Uchis	Cherry Bomb	spotify:track:46CA1H0T1r7u5lDUtVveAh
One More Song	Kid Rock	First Kiss	spotify:track:30sP4pBE0wkWKgZxyxtfRm
7 Deadly Sins	Common	Nobody's Smiling (Deluxe)	spotify:track:6DtgiNLdwEpOU7rgKiOEj5
Apologize - Richard Vission Mix	OneRepublic	The Abbey Compilation - Volume One	spotify:track:1xPIHb2f3a6p1oZKZebFSB
Get Out The Way	Mother Mother	Very Good Bad Thing	spotify:track:6XKB3I8l1inKiUqjARv4IC
Nasty Freestyle	T-Wayne	Nasty Freestyle	spotify:track:5P7dZsbWX0RvhxF2K9j6Ny
Know Yourself	Drake	If You're Reading This It's Too Late	spotify:track:5InOp6q2vvx0fShv3bzFLZ
One Minute More	Capital Cities, Sebu Simonian	In A Tidal Wave Of Mystery (Deluxe Edition)	spotify:track:0NYLOvWtvJdyeceDD9R1Vw
Ima Just Do It	KB, Bubba Watson	Tomorrow We Live	spotify:track:5Vk1VNiIIcGCUpVVAKKonK
Kill Her	Hopsin	Raw	spotify:track:0KstahwTIgIo3foojN23tw
So Many Pros	Snoop Dogg	BUSH	spotify:track:1cnbQIZmuKlMQLENaGl6Bo
I Need War	Young Thug, DJ Cevan K	All in a Day	spotify:track:13kQUGH0fp4ifQGJPTI3Zk
How Many Times (feat. Chris Brown, Lil Wayne & Big Sean)	DJ Khaled, Chris Brown, Lil Wayne, Big Sean	How Many Times (feat. Chris Brown, Lil Wayne & Big Sean)	spotify:track:3uqez7AQId9NZ15UF9QW9M
Mona Lisa	Dead Sara	Mona Lisa	spotify:track:1lwu7YHGTBs1otNYMtbVMw
Stay A Little Longer	Brothers Osborne	Stay A Little Longer	spotify:track:6rqxivjFHp8K0yMiefG56g
Lil Bit	K CAMP	Lil Bit	spotify:track:5BpGjOHSvuRdZNQZMvGxsJ
Crack In the Pearl (feat. Andrew Wyatt)	Mark Ronson, Andrew Wyatt	Uptown Special	spotify:track:523MOh0wR5AN3YUMADvPtz
The Language	Drake	Nothing Was The Same (Deluxe)	spotify:track:3Qu5bTS5AvgS0TpeGhQyfc
Get Low	Dillon Francis, DJ Snake	Money Sucks, Friends Rule	spotify:track:4jyKXQsaWSRO46NKkoxcoe
Crack In the Pearl, Pt. II (feat. Stevie Wonder & Jeff Bhasker)	Mark Ronson, Stevie Wonder, Jeff Bhasker	Uptown Special	spotify:track:3LvmU7SNQIakTe4lxiNNvR
This Summer	Maroon 5	This Summer	spotify:track:5M1FggYnnilIq53k2NVZl4
Worth It (feat. Kid Ink)	Fifth Harmony, Kid Ink	Worth It (feat. Kid Ink)	spotify:track:3oWkBnpg6cYYwUka7kmomo
Don't Do Drugs Just Take Some Jack Ü	Jack Ü, Skrillex, Diplo	Skrillex and Diplo present Jack Ü	spotify:track:0iSGRQ1RNaG76qiXH03jyC
Monster	Meek Mill	Monster	spotify:track:3pw3ZpTrnFJzpbek6o2q0R
Best Night	Madonna	Rebel Heart (Deluxe)	spotify:track:3McJP9776lBXnhONMBsHli
Post to Be (feat. Chris Brown & Jhene Aiko)	Omarion, Chris Brown, Jhené Aiko	Sex Playlist	spotify:track:0fgZUSa7D7aVvv3GfO0A1n
L$D	A$AP Rocky	AT.LONG.LAST.A$AP	spotify:track:4S7YHmlWwfwArgd8LfSPud
Dark Sky (Skyscrapers)	Big Sean	Dark Sky Paradise (Deluxe)	spotify:track:2f1xAoQG7MAi4HTM3gOhW9
R U A Freak	Snoop Dogg	BUSH	spotify:track:4AYFCPg6DqR3d8YkdDTJJM
Hood Go Crazy (feat. 2 Chainz, B.o.B.)	Tech N9ne, 2 Chainz, B.o.B	Hood Go Crazy (feat. 2 Chainz, B.o.B.)	spotify:track:6O5p3G8TFD8sWOq55aHpyD
MILF	Big Sean, Nicki Minaj, Juicy J	Hall Of Fame (Deluxe)	spotify:track:2BAAzpTTKbsZsx0S4BrvU0
F*ck Rehab	Chief Keef, Big Glo	F*ck Rehab	spotify:track:6Ihd80oDuSg0w81nq8reOT
Vet Lungs	Chief Keef	Sorry 4 The Weight (Deluxe Edition)	spotify:track:3h2TtUOzXfjOzQ1TSAVlF9
On the Bible	Tech N9ne, T.I., Zuse	Special Effects	spotify:track:0Pv6bmLtWfVnB2vMajNDcc
Bodies in the Rent a Car	Various Artists, A Real Killer, Jonathan Hay, Dj King Tech	When Music Worlds Collide	spotify:track:3KwFBHBH4VvQ7bx4SWRJKM
Psycho Bitch III	Tech N9ne, Hopsin	Special Effects	spotify:track:7MhYP6hO2NEaOGjPEqybij
DnF (feat. Drake & Future)	Preme, Drake, Future	Dear America	spotify:track:5EMKS6mLi4JprJxy8IGdhT
Me U & Hennessy (feat. Lil Wayne)	DeJ Loaf, Lil Wayne	Me U & Hennessy (feat. Lil Wayne)	spotify:track:4TSDz7xZtxIXeKwiOuCe25
El Taxi	Pitbull, Sensato, Osmani Garcia "La Voz"	El Taxi	spotify:track:2LMPgL8a0GNqgEPpwBGcbx
Trampoline	Kalin and Myles	Dedication	spotify:track:6XujyDupMstcvXN2wLjlCV
M'$	A$AP Rocky	M'$	spotify:track:0jhYMcAqY9LkMCAYNXKtNK
Outro	Big Sean	Dark Sky Paradise (Deluxe)	spotify:track:1nUrTsXhkHI9e5BKaEP5Sp
Trap Queen (feat. Quavo & Gucci Mane)	Fetty Wap, Quavo, Gucci Mane	Trap Queen (feat. Quavo & Gucci Mane)	spotify:track:4MA2EibH9eGHgkbaTnJ3CR
Lolita	Lana Del Rey	Born To Die - The Paradise Edition	spotify:track:696cNqpF2NwRLzC7KqCurz
Movin' Bass - GTA Remix	Rick Ross, JAY-Z	Movin' Bass (GTA Remix)	spotify:track:7yzwszgJUDrllWnG9cQkxQ
For Everybody (feat. Wiz Khalifa & R. City)	Juicy J, Wiz Khalifa, R. City	For Everybody (feat. Wiz Khalifa & R. City)	spotify:track:1qJjofprTOxvqkIAdDixaP
Room 302	Future Brown, Tink	Room 302	spotify:track:0sgVMvVESosTLE5WFcCbl4
Push It - CAZZETTE vs. iSHi Remix	iSHi, Pusha T, CAZZETTE	Push It (CAZZETTE vs. iSHi Remix)	spotify:track:2ev046WFpFivrmadX5keLz
Automatic	Miranda Lambert	Automatic	spotify:track:4S4mLrWZAGSOhetjs4KKyb
Yoga	Janelle Monáe, Jidenna	Yoga	spotify:track:3IJCSQoLF4YzPAKaxq2JLb
Come And See Me Interlude	Ludacris	Ludaversal	spotify:track:0kKraS9R9QixORiZE0rhiJ
Watch Me (Whip / Nae Nae)	Silentó	Watch Me (Whip / Nae Nae)	spotify:track:6XoQ8PWoBFccqNhtVsDqxT
Roll the Bass	Major Lazer	Roll the Bass	spotify:track:0MYCkR5LKsKG2pS35YQmeN
Days of Gold	Jake Owen	Days of Gold	spotify:track:5ETe7SElBIgm2NAZY3SpX4
Tip It Back	Florida Georgia Line	Here's To The Good Times...This Is How We Roll	spotify:track:7AXoa5HANohpZmvpdiyJvy
Good Good	Florida Georgia Line	Anything Goes	spotify:track:0VhjSCScYGOmEKr24FBNSM
Only Right (feat. YG, Joe Moses & TeeCee4800)	Ty Dolla $ign, YG, Joe Moses, TeeCee4800	Only Right (feat. YG, Joe Moses & TeeCee4800)	spotify:track:2vhEwP0ospH3CARtkPPYy5
Get Low (feat. Rae Sremmurd) - Remix	Dillon Francis, DJ Snake, Rae Sremmurd	Money Sucks, Friends Rule	spotify:track:20sN1fV0U0Fv8AkXyhaXGT
Flicka Da Wrist	Chedda Da Connect	Flicka Da Wrist	spotify:track:6q5vZHAzu2uSWu7qYKSse0
Homegrown Honey	Darius Rucker	Homegrown Honey	spotify:track:5mv0E9VfdpuwNX4fMznxjs
Rewind That	Common	Nobody's Smiling (Deluxe)	spotify:track:3fUSgjQ5wObPjVnZM1IY9z
Black Is the Color	Rhiannon Giddens	Tomorrow Is My Turn	spotify:track:3nXYzISBAEsf9ORiEkGCUv
Aunque Ahora Estés Con Él	Calibre 50	Aunque Ahora Estés Con Él	spotify:track:49ItgqFP5shdUdK9ggonW0
Out On Bond	Common, Vince Staples	Nobody's Smiling (Deluxe)	spotify:track:68wrS2N015tgR3iFadt0Sk
Someone New	Hozier	Hozier (Deluxe)	spotify:track:2CyE2IRLBN1lWdrELMqgwx
Amy's Friend	Bombadil	Amy's Friend	spotify:track:46o1U0wi2mujk9E8PULeSD
NEW COKE	HEALTH	NEW COKE	spotify:track:6W7Bp4vB2Kw3KxvmrsiMDs
Intoxicated - Zeds Dead Remix	Martin Solveig, GTA, Zeds Dead	Intoxicated (The Remixes)	spotify:track:5qebs3eOhjyc1XivzAeNVg
Your Good Fortune	Mavis Staples	Your Good Fortune	spotify:track:4a76Lpk5Fbq6Utm09b6zu5
Summer Breaking (feat. Kevin Parker)	Mark Ronson, Kevin Parker	Uptown Special	spotify:track:3hoh1AoKwuC3VZ8CYj6YA9
Outside (feat. Ellie Goulding) - Hardwell Remix	Calvin Harris, Ellie Goulding, Hardwell	Outside (feat. Ellie Goulding) [Remixes]	spotify:track:5F65SKdHWD9l4Nl4kgMcWG
F**k The Summer Up (feat. Biker Boy Pug)	Leikeli47, Biker Boy Pug	Leikeli47	spotify:track:7cEEYdFRWCKkA9SL536I3p
Free the Animal	Sia	1000 Forms Of Fear	spotify:track:5J8MPzzufgbhutBl8gEr6r
Go Hard or Go Home	Wiz Khalifa, Iggy Azalea	Go Hard or Go Home	spotify:track:4IXiFMhtXEbSEG8UoAeTwD
Commas	Spinz, Southside, Future	Commas	spotify:track:7stVt0LOgciayYMRjlftWg
Fair Game	Sia	1000 Forms Of Fear	spotify:track:3N1bQ9rnwVXIKClKx6vcpG
They Dont Love You No More	DJ Khaled, JAY-Z, Meek Mill, Rick Ross, French Montana	They Dont Love You No More	spotify:track:5DOJEIoTVoRxDfQwzNN2Da
Who's There (feat. Jarren Benton, Dizzy Wright)	Hopsin	Knock Madness	spotify:track:6RRPMzuEvUsUYht0DVz3VZ
Hollywood N*ggaz	Tyga	Hollywood N*ggaz - Single	spotify:track:7ujiqXsHOBaf4xR0Ygy7cF
Make That Sh*t Work (feat. Juicy J)	T-Pain, Juicy J	Make That Sh*t Work (feat. Juicy J)	spotify:track:7oigG0toPdu2Oj8mYowsBM
Sangria	Blake Shelton	BRINGING BACK THE SUNSHINE	spotify:track:0p1HtkrNYxv0iDfEKwXSTp
Tell Me How You Like It	Florida Georgia Line	Here's To The Good Times...This Is How We Roll	spotify:track:6vZDTZAipjbn4GwhKfJqac
Edibles (feat. T.I.)	Snoop Dogg, T.I.	BUSH	spotify:track:26ZpMFioXWuHehA1bhU6Zc
Girl Crush	Little Big Town	Pain Killer	spotify:track:11qh54D0PKkBwelpDxxiEU
Hell Raisin' Heat Of The Summer	Florida Georgia Line	Here's To The Good Times...This Is How We Roll	spotify:track:6bBF2IyiTW5kkYJY1FYQKB
Sugar - Remix	Maroon 5, Nicki Minaj	Sugar (Remix)	spotify:track:4tnnfGGLBYWwotE4Q8H5jf
Jungle Bash (feat. SwizZz)	Hopsin	Knock Madness	spotify:track:7MVKVv3BY3WyCZw1vSY1lb
Miss Narcissist	Courtney Love	Miss Narcissist	spotify:track:4PZYnZLAhZu3iMfToqmlus
(Drill Sergeant)	Muse	Drones	spotify:track:2E5tWJSusHxpaksg1yfsIu
Mo Better Cool	Big K.R.I.T., Devin The Dude, Big Sant, Bun B	Cadillactica (Deluxe)	spotify:track:22iP0AbgBlEAVYS5G9dJPf
My Ol' Bronco	Luke Bryan	Spring Break...Checkin' Out	spotify:track:0vgFidbP4f2H5ktxmOuV1B
Don't You	Sage The Gemini	Remember Me (Deluxe Edition)	spotify:track:08Tbfp1GXta9Gb4RhoTuoX
Madonna	Drake	If You're Reading This It's Too Late	spotify:track:4v7SAP4KD96BFLWiCd1vF0
Knee Deep (feat. Jimmy Buffett)	Zac Brown Band, Jimmy Buffett	You Get What You Give (Deluxe)	spotify:track:1yEwEiTpsaPhQi9lb5EVV4
Run Away (feat. Gwen Stefani)	Snoop Dogg, Gwen Stefani	BUSH	spotify:track:3KntBFzQkMQtE0QejXNEcK
Lunch Time Cypher (feat. Passionate MC, G-Mo Skee)	Hopsin	Knock Madness	spotify:track:1lbF3wcYZreycbPrPC4dd6
Peanut Butter Jelly	Galantis	Peanut Butter Jelly	spotify:track:6fmbKY1teQRfsIqVRlnTsM
Real Life	Jake Owen	Real Life	spotify:track:5NUvj4WX2tAQGxOF4CWJ7I
Like a Hott Boyy	Kid Ink, Young Thug, Bricc Baby Shitro	Like a Hott Boyy	spotify:track:1CHbI7StHFz678QNK3AsB7
Never Sleep Alone (feat. Tess Comrie)	Kaskade, Tess Comrie	Never Sleep Alone (feat. Tess Comrie)	spotify:track:5xvagygk66wKzm6ecuUp14
Got It Like That - Eleven:11 Remix	Pell, G-Eazy	Got It Like That (Eleven:11 Remix)	spotify:track:7B6kmb9U4BS1YqPrZzUO7s
You Know You Like It	DJ Snake, AlunaGeorge	You Know You Like It	spotify:track:57kR5SniQIbsbVoIjjOUDa
Staring At the Stars - Acoustic	Passenger	All the Little Lights	spotify:track:5YEulKj0RPGwevyVCWAww9
Bang That	Disclosure	Bang That	spotify:track:5wKVFoSD7ppsjTvsniDGes
Box Chevy V	Yelawolf	Love Story	spotify:track:4DlyibZTP0atkiRk5OhQXK
OT	Berner, Wiz Khalifa	20 Lights	spotify:track:2Fm4jvdtkdlJcIdltguUn2
Classic Man (feat. Roman GianArthur)	Jidenna, Roman GianArthur	Classic Man (feat. Roman GianArthur)	spotify:track:3G7XYAwtxtoGK7fAm4IlD9
What It Feels Like	Kid Ink	Full Speed	spotify:track:1Z4eYzyo4kBdJ1I6aTMfuP
Body Electric	Lana Del Rey	Born To Die - The Paradise Edition	spotify:track:6rsXPxIVXPo4bPhZA5vLUX
You Need Me, I Don't Need You - Live at the Bedford	Ed Sheeran	5	spotify:track:2GGOQWJo7FGEQojc7baekK
Buy Me a Boat	Chris Janson	Buy Me a Boat	spotify:track:6y35xDJFzpy1FIa6qCMA59
Am I A Psycho	Tech N9ne	All 6's And 7's	spotify:track:1JTZqN0snbMSNtp59zveTs
Dimed Out - Single Version	Titus Andronicus	Dimed Out	spotify:track:1Ol16FsdZHsz0vQ0g922sy
The Girls on Drugs	Wale, Jeremih	The Album About Nothing	spotify:track:09GCuO9yQH5R1E8HYknrV8
Bitch I'm Madonna	Madonna, Nicki Minaj	Rebel Heart (Deluxe)	spotify:track:2bZMOs3RjmhhGca6MEzjyl
Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack) - Boaz van de Beatz Remix	David Guetta, Boaz van de Beatz	Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack) [Boaz van de Beatz Remix]	spotify:track:5GbQRYPXgTxONbGM92fxYs
Where Are Ü Now (with Justin Bieber) - Rustie Remix	Jack Ü, Skrillex, Diplo, Justin Bieber, Rustie	Where Are Ü Now (with Justin Bieber) [Remixes]	spotify:track:6OZYfkgwUiKrIz6F5vW5oL
Break the Rules - Phantogram Remix	Charli XCX, Phantogram	Break the Rules (Phantogram Remix)	spotify:track:2L02OMP8UeVfOqPdML5D8L
M'$ (feat. Lil Wayne)	A$AP Rocky, Lil Wayne	AT.LONG.LAST.A$AP	spotify:track:29ZSk6XmWPx3DX69xBb7Yi
Baby Blue (feat. Chance the Rapper)	Action Bronson, Chance the Rapper	Baby Blue (feat. Chance The Rapper)	spotify:track:5EkuOFd5T2c2ceITcbB0CW
2SEATER (feat. Aaron Shaw, Samantha Nelson & Austin Feinstein)	Tyler, The Creator, Aaron Shaw, Samantha Nelson, Austin Feinstein	Cherry Bomb	spotify:track:6Xw3iWrQKgArwlRhVuU9CK
Whistle (While You Work It) - Joshua Walter Remix	Katy Tiz, Joshua Walter	Whistle (While You Work It) [The Remixes]	spotify:track:2402J5BqulFlBt3IEf2PH9
Wild Boy	Machine Gun Kelly, Waka Flocka Flame	Lace Up (Deluxe)	spotify:track:5jcMhhJ0gXhtruaFIBbL3t
Cool for the Summer	Demi Lovato	Cool for the Summer	spotify:track:1KK0j3djUgx5tuOMwesdAT
Finna Get Loose (feat. Pharrell Williams)	Diddy, Pharrell Williams	Finna Get Loose (feat. Pharrell Williams)	spotify:track:5IPdzXnXyGegmtg4ik3RW2
Real Sisters	Future	Real Sisters	spotify:track:5Xj6utUMreZg0GVxVt6qYN
Hey Ricky (feat. Kreayshawn, Dev & ALISA UENO)	NERVO, Kreayshawn, Dev, ALISA UENO	Hey Ricky (feat. Kreayshawn, Dev & ALISA UENO)	spotify:track:1fJqKixZpYmmuMoj54KtTs
Cowboy Casanova	Carrie Underwood	Play On	spotify:track:41NSrKm33WLGX1xIJgU6Np
Lamborghini	KSI, P Money	Lamborghini	spotify:track:1mhdEO1cBTccQ3tknmM6ng
Drinkin' Town With A Football Problem	Billy Currington	Summer Forever	spotify:track:1vMnUuz3iSTaI1XGwVEJUI
Hole In A Bottle	Canaan Smith	Canaan Smith	spotify:track:27GY5D7nO47J4S5d8rCF9P
Awake	Snoop Dogg	BUSH	spotify:track:1Kb0NIuXFfTEcyCsBLQPwR
Moving Day - Interlude	X Ambassadors	VHS	spotify:track:0e3KPaL7Kn655gTFnNNxnQ
Y2K Time Capsule - Interlude	X Ambassadors	VHS	spotify:track:1senhLzkFGXvVpRNruFKpe
Lonely	ZZ Ward	Lonely	spotify:track:22T1lUQXDu0qQ7vqadtJ0W
First Show - Interlude	X Ambassadors	VHS	spotify:track:58XC3JGqAgLVSCfNAda8gv
Smoke - Interlude	X Ambassadors	VHS	spotify:track:2AfuQD3MrGkRGksw0Semig
Adam & Noah's Priorities - Interlude	X Ambassadors	VHS	spotify:track:4qswVWQixIIRVBBQroCFqS
Good News On The Remix - Interlude	X Ambassadors	VHS	spotify:track:5u8WjzUOQLqGRqHWX1uNCF
VHS Outro - Interlude	X Ambassadors	VHS	spotify:track:09DZZncAbNo5ERimS13aNp
Bad Manners Freestyle	Hopsin	Knock Madness	spotify:track:39yhaWCECtvHPtGcNmmTkN
Often - Kygo Remix	The Weeknd, Kygo	Often (Kygo Remix)	spotify:track:27NV2KxoQ8WuLMqlTDI61F
R.I.C.O. (feat. Drake)	Meek Mill, Drake	Dreams Worth More Than Money	spotify:track:0Y0TOsE1q11qgbi7c5WZsG
In Case You Forgot - Live At Capitol Studios / 2014	Robert Glasper	Covered (The Robert Glasper Trio Recorded Live At Capitol Studios)	spotify:track:39EGKERZtklqn5HG45mp1O
California Roll (feat. Stevie Wonder)	Snoop Dogg, Stevie Wonder	California Roll (feat. Stevie Wonder)	spotify:track:1LmOaMuUPQD6BrK9fuGFa8
Ramona (feat. Jarren Benton)	Hopsin, Jarren Benton	Pound Syndrome	spotify:track:0dVvy5f7LbyTEsXGCyaNfY
No Words - Skit	Hopsin	Pound Syndrome	spotify:track:6kBZQAfn5XjUBaApTfJsVy
Eyes Nose Lips (feat. Taeyang)	Epik High	EPIK HIGH - SHOEBOX	spotify:track:7IUAkw9BmdzrOTx5J9KVUp
Somethin' 'Bout A Truck	Kip Moore	Up All Night	spotify:track:6Ymvlzom4TQeoKqAWsZRD8
Jackie And Wilson	Hozier	Hozier (Deluxe)	spotify:track:2C1KgZbFiogNUngkmHbWhi
Cheerleader - Felix Jaehn Remix Radio Edit	OMI, Felix Jaehn	Cheerleader (Felix Jaehn Remix Radio Edit)	spotify:track:2XPc8gL9PwxGURQFcFaDJR
Pipe It Up	Migos	Yung Rich Nation	spotify:track:2DpFxz6Z30V7d9rkO8gwuZ
Bun Up the Dance	Dillon Francis, Skrillex	Bun Up the Dance	spotify:track:2JQh3fEZUYYP9fNXC4841f
Write Your Name	Selena Gomez	Stars Dance (Bonus Track Version)	spotify:track:7xWZ6yrBuZF3E9iYnUNs3C
Dont	GMPresents	Dont Fuck With My Love	spotify:track:4k377yl5lIMQpi2lRyigm7
Together - Radio Edit	CAZZETTE, Newtimers	Together (Radio Edit)	spotify:track:2ec6A7BVwscwirxa0gnWHj
Dollhouse	Melanie Martinez	Dollhouse	spotify:track:3deFSRUdM7JC8P1Fi6r0rY
S.O.B.	Nathaniel Rateliff & The Night Sweats	Nathaniel Rateliff & The Night Sweats	spotify:track:1hWQvA6oGVJ2mAVsZ59AaV
In A Week	Hozier, Karen Cowley	Hozier (Deluxe)	spotify:track:64LJIgigkKPqqgnSO4bPR3
Ignition / Do You... (Mashup)	Phoebe Ryan	Ignition / Do You... (Mashup)	spotify:track:0onyaPj0bXrPJPBxzuOWM1
Gangsta	ScHoolboy Q	Oxymoron (Deluxe)	spotify:track:2dUkCUXXoknwsLwuGaL4bA
Outer Space	Yelawolf	Love Story	spotify:track:5W1Qt1tvO4OESyz7up2dkW
Chains - DJ Mike D and ChAdachi Remix	Nick Jonas, Michael "DJ Mike D" Adachi	Chains (DJ Mike D and ChAdachi Remix)	spotify:track:1ijUORH133Iw8yl1pfQRfv
Half Naked & Almost Famous	Machine Gun Kelly	Lace Up (Deluxe)	spotify:track:2xLV7fBXitj87f59CWhVNq
3am	Meghan Trainor	Title (Deluxe)	spotify:track:0ctOamnBE7fk0A3xBAMxTh
Credit	Meghan Trainor	Title (Deluxe)	spotify:track:63dFd2UgXD8l2buNGEtKRs
Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)	Macklemore & Ryan Lewis, Grandmaster Melle Mel, Eric Nally, Grandmaster Caz, Kool Moe Dee	Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)	spotify:track:0lLDaAdXcjOQ7Mf2NXzXay
What Do You Mean?	Justin Bieber	What Do You Mean?	spotify:track:6nRwc5GgNvBMkKaynhQzrm
She's Kinda Hot	5 Seconds of Summer	She's Kinda Hot	spotify:track:56nMXANwYgYPBqGX9uEH2M
Pressure Pills	Mikky Ekko	Time (Spotify Exclusive)	spotify:track:4ON2LISG8CiUh40F1mdPDj
Love Runs Out - Passion Pit Remix	OneRepublic	Love Runs Out (Remixes)	spotify:track:4V5Rlpqn5lHpfsLfC45sIo
